,concepts,type,Definition,process_name,DataProperty,synonyms
59, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in previous similar projects  schedule development management and control  scheduling methodologies eg predictive or adaptive life cycle  scheduling software and  the speciﬁc industry for which the project is developed, plan schedule management,section 4.1.2.1,adept opinion 
60, data analysis,Has_Technics_Tools,a data analysis technique that can be used for this process includes but is not limited to alternatives analysis  alternatives analysis can include determining which schedule methodology to use or how to combine various  methods on the project it can also include determining how detailed the schedule needs to be the duration of  waves for rolling wave planning and how often it should be reviewed and updated an appropriate balance between  the level of detail needed to manage the schedule and the amount of time it takes to keep it up to date needs to be  reached for each project, plan schedule management,,information psychoanalysis 
61, meetings,Has_Technics_Tools,project teams may hold planning meetings to develop the schedule management plan participants at these meetings  may include the project manager the project sponsor selected project team members selected stakeholders anyone  with responsibility for schedule planning or execution and others as needed, plan schedule management,,meeting 
62, schedule management plan,Has_Outputs,the schedule management plan is a component of the project management plan that establishes the criteria  and the activities for developing monitoring and controlling the schedule the schedule management plan may be  formal or informal highly detailed or broadly framed based on the needs of the project and includes appropriate  control thresholds     the schedule management plan can establish the following  project schedule model development the scheduling methodology and the scheduling tool to be used in the  development of the project schedule model are speciﬁed  release and iteration length when using an adaptive life cycle the timeboxed periods for releases waves  and iterations are speciﬁed timeboxed periods are durations during which the team works steadily toward  completion of a goal timeboxing helps to minimize scope creep as it forces the teams to process essential  features ﬁrst then other features when time permits  level of accuracy the level of accuracy speciﬁes the acceptable range used in determining realistic activity  duration estimates and may include an amount for contingencies  units of measure each unit of measurement such as staff hours staff days or weeks for time measures or  meters liters tons kilometers or cubic yards for quantity measures is deﬁned for each of the resources  organizational procedures links the work breakdown structure wbs section  provides the framework  for the schedule management plan allowing for consistency with the estimates and resulting schedules  project schedule model maintenance the process used to update the status and record progress of the  project in the schedule model during the execution of the project is deﬁned  control thresholds variance thresholds for monitoring schedule performance may be speciﬁed to indicate an  agreedupon amount of variation to be allowed before some action needs to be taken thresholds are typically  expressed as percentage deviations from the parameters established in the baseline plan  rules of performance measurement earned value management evm rules or other physical measurement  rules of performance measurement are set for example the schedule management plan may specify  rules for establishing percent complete  evm techniques eg baselines ﬁxedformula percent complete etc to be employed for more speciﬁc  information refer to the practice standard for earned value management  and  schedule performance measurements such as schedule variance sv and schedule performance index spi  used to assess the magnitude of variation to the original schedule baseline  reporting formats the formats and frequency for the various schedule reports are deﬁned    define activities deﬁne activities is the process of identifying and documenting the speciﬁc actions to be performed to produce  the project deliverables the key beneﬁt of this process is that it decomposes work packages into schedule activities  that provide a basis for estimating scheduling executing monitoring and controlling the project work this process  is performed throughout the project, plan schedule management,,agenda direction program 
63, project management plan,Has_Inputs,  project management plan components include but are not limited to  schedule management plan   the schedule management plan deﬁnes the  schedule methodology the duration of waves for rolling wave planning and the level of detail necessary to  manage the work  scope baseline   the project wbs deliverables constraints and assumptions  documented in the scope baseline are considered explicitly while deﬁning activities, define activities,section 4.2.3.1,undertaking direction program 
64, enterprise environmental factors,Has_Inputs,enterprise environmental factors that inﬂuence the deﬁne activities process include but are not limited to  organizational cultures and structure  published commercial information from commercial databases and  project management information system pmis, define activities,,endeavor environmental factor 
65, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the deﬁne activities process include but are not limited to  lessons learned repository containing historical information regarding activity lists used by previous similar projects  standardized processes  templates that contain a standard activity list or a portion of an activity list from a previous project and  existing formal and informal activity planningrelated policies procedures and guidelines such as the scheduling  methodology that are considered in developing the activity deﬁnitions, define activities,,organisational procedure asset 
66, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  of similar past projects and the work being performed, define activities,section 4.1.2.1,adept opinion 
67, decomposition,Has_Technics_Tools,  decomposition is a technique used for dividing and subdividing the project scope and  project deliverables into smaller more manageable parts activities represent the effort needed to complete a work  package the deﬁne activities process deﬁnes the ﬁnal outputs as activities rather than deliverables as done in the  create wbs process section  the activity list wbs and wbs dictionary can be developed either sequentially or concurrently with the wbs and wbs  dictionary used as the basis for development of the ﬁnal activity list each work package within the wbs is decomposed  into the activities required to produce the work package deliverables involving team members in the decomposition can  lead to better and more accurate results, define activities,section 5.4.2.2,vector_decomposition 
68, rolling wave planning,Has_Technics_Tools,rolling wave planning is an iterative planning technique in which the work to be accomplished in the near term is  planned in detail while work further in the future is planned at a higher level it is a form of progressive elaboration  applicable to work packages planning packages and release planning when using an agile or waterfall approach  therefore work can exist at various levels of detail depending on where it is in the project life cycle during early  strategic planning when information is less deﬁned work packages may be decomposed to the known level of detail as  more is known about the upcoming events in the near term work packages can be decomposed into activities, define activities,,peal moving_ridge preparation 
69, meetings,Has_Technics_Tools,meetings may be facetoface virtual formal or informal meetings may be held with team members or subject  matter experts to deﬁne the activities needed to complete the work, define activities,,meeting 
70, activity list,Has_Outputs,the activity list includes the schedule activities required on the project for projects that use rolling wave planning  or agile techniques the activity list will be updated periodically as the project progresses the activity list includes  an activity identiﬁer and a scope of work description for each activity in sufﬁcient detail to ensure that project team  members understand what work is required to be completed, define activities,,action listing 
71, activity attributes,Has_Outputs,activity attributes extend the description of the activity by identifying multiple components associated with each  activity the components for each activity evolve over time during the initial stages of the project they include  the unique activity identiﬁer id wbs id and activity label or name when completed they may include activity  descriptions predecessor activities successor activities logical relationships leads and lags section   resource requirements imposed dates constraints and assumptions activity attributes can be used to identify the  place where the work has to be performed the project calendar the activity is assigned to and the type of effort  involved activity attributes are used for schedule development and for selecting ordering and sorting the planned  schedule activities in various ways within reports, define activities,section 6.3.2.3,action attribute 
72, milestone list,Has_Outputs,a milestone is a signiﬁcant point or event in a project a milestone list identiﬁes all project milestones and indicates  whether the milestone is mandatory such as those required by contract or optional such as those based on historical  information milestones have zero duration because they represent a signiﬁcant point or event, define activities,,milepost listing 
73, change requests,Has_Outputs,  once the project has been baselined the progressive elaboration of deliverables into  activities may reveal work that was not initially part of the project baselines this may result in a change request  change requests are processed for review and disposition through the perform integrated change control process  section, define activities,section 4.3.3.4,alteration request 
74, project management plan updates,Has_Outputs,any change to the project management plan goes through the organization’s change control process via a change  request components that may require a change request for the project management plan include but are not limited to  schedule baseline   throughout the project work packages are progressively  elaborated into activities this process may reveal work that was not part of the initial schedule baseline  necessitating a change to delivery dates or other significant schedule milestones that are part of the  schedule baseline  cost baseline   changes to the cost baseline are incorporated in response to  approved changes in schedule activities    sequence activities sequence activities is the process of identifying and documenting relationships among the project activities the key  beneﬁt of this process is that it deﬁnes the logical sequence of work to obtain the greatest efﬁciency given all project  constraints this process is performed throughout the project   every activity except the ﬁrst and last should be connected to at least one predecessor and at least one successor  activity with an appropriate logical relationship logical relationships should be designed to create a realistic project  schedule it may be necessary to use lead or lag time between activities to support a realistic and achievable project  schedule sequencing can be performed by using project management software or by using manual or automated  techniques the sequence activities process concentrates on converting the project activities from a list to a diagram to  act as a ﬁrst step to publish the schedule baseline, define activities,section 6.5.3.1,undertaking direction program update 
75, project management plan,Has_Inputs,  project management plan components include but are not limited to  schedule management plan   the schedule management plan deﬁnes the method  used and the level of accuracy along with other criteria required to sequence activities  scope baseline   the project wbs deliverables constraints and assumptions  documented in the scope baseline are considered explicitly while sequencing activities, sequence activities,section 4.2.3.1,undertaking direction program 
76, project documents,Has_Inputs,project documents that can be considered, sequence activities,section 6.2.3.2,undertaking document 
77, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the sequence activities process include but are not limited to  government or industry standards  project management information system pmis  scheduling tools and  organization work authorization systems, sequence activities,,endeavor environmental factor 
78, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the sequence activities process include but are not limited to  portfolio and program plans and project dependencies and relationships  existing formal and informal activity planningrelated policies procedures and guidelines such as the scheduling  methodology that is considered in developing logical relationships  templates that can be used to expedite the preparation of networks for project activities related activity attributes  information in templates can also contain additional descriptive information useful in sequencing activities and  lessons learned repository containing historical information that can help optimize the sequencing process, sequence activities,,organisational procedure asset 
79, precedence diagramming method,Has_Technics_Tools,the precedence diagramming method pdm is a technique used for constructing a schedule model in which activities  are represented by nodes and are graphically linked by one or more logical relationships to show the sequence in which  the activities are to be performed pdm includes four types of dependencies or logical relationships a predecessor activity is an activity that logically  comes before a dependent activity in a schedule a successor activity is a dependent activity that logically comes after  another activity in a schedule these relationships are deﬁned below and are illustrated in figure       finishtostart fs a logical relationship in which a successor activity cannot start until a predecessor activity  has ﬁnished for example installing the operating system on a pc successor cannot start until the pc hardware  is assembled predecessor  finishtofinish ff a logical relationship in which a successor activity cannot ﬁnish until a predecessor activity  has ﬁnished for example writing a document predecessor is required to ﬁnish before editing the document  successor can ﬁnish  starttostart ss a logical relationship in which a successor activity cannot start until a predecessor activity  has started for example level concrete successor cannot begin until pour foundation predecessor begins  starttofinish sf a logical relationship in which a successor activity cannot ﬁnish until a predecessor activity  has started for example a new accounts payable system successor has to start before the old accounts  payable system can be shut down predecessor in pdm fs is the most commonly used type of precedence relationship the sf relationship is very rarely used but  is included to present a complete list of the pdm relationship types two activities can have two logical relationships at the same time for example ss and ff multiple relationships  between the same activities are not recommended so a decision has to be made to select the relationship with the  highest impact closed loops are also not recommended in logical relationships figure  precedence diagramming method pdm relationship types activity a activity b activity a activity a activity b activity b activity a activity b finish to start fs start to finish sf start to start ss finish to finish ff, sequence activities,,precedency schematization method_acting 
80, dependency determination and integration,Has_Technics_Tools,dependencies may be characterized by the following attributes mandatory or discretionary internal or external  as described below dependency has four attributes but two can be applicable at the same time in the following  ways mandatory external dependencies mandatory internal dependencies discretionary external dependencies or  discretionary internal dependencies  mandatory dependencies mandatory dependencies are those that are legally or contractually required or  inherent in the nature of the work mandatory dependencies often involve physical limitations such as on a  construction project where it is impossible to erect the superstructure until after the foundation has been built  or on an electronics project where a prototype has to be built before it can be tested mandatory dependencies  are sometimes referred to as hard logic or hard dependencies technical dependencies may not be mandatory  the project team determines which dependencies are mandatory during the process of sequencing the activities  mandatory dependencies should not be confused with assigning schedule constraints in the scheduling tool  discretionary dependencies discretionary dependencies are sometimes referred to as preferred logic  preferential logic or soft logic discretionary dependencies are established based on knowledge of best  practices within a particular application area or some unusual aspect of the project where a speciﬁc sequence  is desired even though there may be other acceptable sequences for example generally accepted best  practices recommend that during construction the electrical work should start after ﬁnishing the plumbing  work this order is not mandatory and both activities may occur at the same time in parallel but performing  the activities in sequential order reduces the overall project risk discretionary dependencies should be fully  documented since they can create arbitrary total ﬂoat values and can limit later scheduling options when fast  tracking techniques are employed these discretionary dependencies should be reviewed and considered for  modiﬁcation or removal the project team determines which dependencies are discretionary during the process  of sequencing the activities      external dependencies external dependencies involve a relationship between project activities and non project activities these dependencies are usually outside of the project team’s control for example the  testing activity in a software project may be dependent on the delivery of hardware from an external source or  governmental environmental hearings may need to be held before site preparation can begin on a construction  project the project management team determines which dependencies are external during the process of  sequencing the activities  internal dependencies internal dependencies involve a precedence relationship between project activities and  are generally inside the project team’s control for example if the team cannot test a machine until they assemble  it there is an internal mandatory dependency the project management team determines which dependencies  are internal during the process of sequencing the activities, sequence activities,,dependence finding integrating 
81, leads and lags,Has_Technics_Tools,a lead is the amount of time a successor activity can be advanced with respect to a predecessor activity for example  on a project to construct a new ofﬁce building the landscaping could be scheduled to start  weeks prior to the scheduled  punch list completion this would be shown as a ﬁnishtostart with a week lead as shown in figure  lead is often  represented as a negative value for lag in scheduling software figure  examples of lead and lag complete punch list write draft landscape building lot edit draft ss  days lag fs  weeks lead   a lag is the amount of time a successor activity will be delayed with respect to a predecessor activity for example  a technical writing team may begin editing the draft of a large document  days after they begin writing it this can be  shown as a starttostart relationship with a day lag as shown in figure  lag can also be represented in project  schedule network diagrams as shown in figure  in the relationship between activities h and i as indicated by the  nomenclature ss starttostart plus  days lag even though the offset is not shown relative to a timescale the project management team determines the dependencies that may require a lead or a lag to accurately deﬁne the  logical relationship the use of leads and lags should not replace schedule logic also duration estimates do not include  any leads or lags activities and their related assumptions should be documented figure  project schedule network diagram, sequence activities,,lead slowdown 
82, project management information system pmis,Has_Technics_Tools,  project management information systems includes scheduling software that has the  capability to help plan organize and adjust the sequence of the activities insert the logical relationships lead and lag  values and differentiate the different types of dependencies a b c d e begin h f g end i j k l ff fs   ss   ss, sequence activities,section 4.3.2.2,undertaking direction info organization 
83, project schedule network diagrams,Has_Outputs,a project schedule network diagram is a graphical representation of the logical relationships also referred to as  dependencies among the project schedule activities figure  illustrates a project schedule network diagram a  project schedule network diagram is produced manually or by using project management software it can include full  project details or have one or more summary activities a summary narrative can accompany the diagram and describe  the basic approach used to sequence the activities any unusual activity sequences within the network should be fully  described within the narrative activities that have multiple predecessor activities indicate a path convergence activities that have multiple successor  activities indicate a path divergence activities with divergence and convergence are at greater risk as they are affected  by multiple activities or can affect multiple activities activity i is called a path convergence as it has more than one  predecessor while activity k is called a path divergence as it has more than one successor, sequence activities,,undertaking agenda mesh diagram 
84, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  activity attributes   activity attributes may describe a necessary sequence of  events or deﬁned predecessor or successor relationships as well as deﬁned lead and lag and logical relationships  between the activities  activity list   the activity list may be impacted by the change in relationships  among the project activities during the sequencing activities  assumption log   assumptions and constraints recorded in the assumption log may  need to be updated based on the sequencing relationship determination and leads and lags and may give rise  to individual project risks that may impact the project schedule  milestone list   the scheduled dates for speciﬁc milestones may be impacted by  changes in relationships among the project activities during the sequencing activities    estimate activity durations estimate activity durations is the process of estimating the number of work periods needed to complete individual  activities with estimated resources the key beneﬁt of this process is that it provides the amount of time each activity  will take to complete this process is performed throughout the project   number of resources as well as the schedule network analysis technique used  the estimate activity durations process requires an estimation of the amount of work effort required to complete  the activity and the amount of available resources estimated to complete the activity these estimates are used to  approximate the number of work periods activity duration needed to complete the activity using the appropriate project  and resource calendars in many cases the number of resources that are expected to be available to accomplish an  activity along with the skill proﬁciency of those resources may determine the activity’s duration a change to a driving  resource allocated to the activity will usually have an effect on the duration but this is not a simple “straightline” or  linear relationship sometimes the intrinsic nature of the work ie constraints imposed on the duration effort involved  or number of resources will take a predetermined amount of time to complete regardless of the resource allocation  eg a hour stress test other factors for consideration when estimating duration include  law of diminishing returns when one factor eg resource used to determine the effort required to produce a  unit of work is increased while all other factors remain ﬁxed a point will eventually be reached at which additions  of that one factor start to yield progressively smaller or diminishing increases in output  number of resources increasing the number of resources to twice the original number of the resources does  not always reduce the time by half as it may increase extra duration due to risk and at some point adding  too many resources to the activity may increase duration due to knowledge transfer learning curve additional  coordination and other factors involved  advances in technology this may also play an important role in determining duration estimates for example an  increase in the output of a manufacturing plant may be achieved by procuring the latest advances in technology  which may impact duration and resource needs  motivation of staff the project manager also needs to be aware of student syndrome or procrastination  when people start to apply themselves only at the last possible moment before the deadline and parkinson’s law  where work expands to ﬁll the time available for its completion all data and assumptions that support duration estimating are documented for each activity duration estimate, sequence activities,section 6.2.3.2,undertaking document update 
85, project management plan,Has_Inputs,  project management plan components include but are not limited to  schedule management plan   the schedule management plan deﬁnes the method  used as well as the level of accuracy and other criteria required to estimate activity durations  scope baseline   the scope baseline includes the wbs dictionary which contains  technical details that can inﬂuence the effort and duration estimates, estimate activity durations,section 4.2.3.1,undertaking direction program 
86, project documents,Has_Inputs,project documents that can be considered   resource calendars   the resource calendars inﬂuence the duration of schedule  activities due to the availability of speciﬁc resources type of resources and resources with speciﬁc attributes  resource calendars specify when and how long identiﬁed project resources will be available during the project  resource requirements   the estimated activity resource requirements will have  an effect on the duration of the activity since the level to which the resources assigned to the activity meet  the requirements will signiﬁcantly inﬂuence the duration of most activities for example if additional or lower skilled resources are assigned to an activity there may be reduced efﬁciency or productivity due to increased  communication training and coordination needs leading to a longer duration estimate  risk register   individual project risks may impact resource selection and  availability updates to the risk register are included with project documents updates    from plan risk responses, estimate activity durations,section 6.2.3.2,undertaking document 
87, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the estimate activity durations process include but are not  limited to  duration estimating databases and other reference data  productivity metrics  published commercial information and  location of team members, estimate activity durations,,endeavor environmental factor 
88, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the estimate activity durations process include but are not  limited to  historical duration information  project calendars  estimating policies  scheduling methodology and  lessons learned repository   durations can be quantitatively determined by multiplying the quantity of work to be performed by the number of labor  hours per unit of work for example duration on a design project is estimated by the number of drawings multiplied by  the number of labor hours per drawing or on a cable installation the meters of cable multiplied by the number of labor  hours per meter if the assigned resource is capable of installing  meters of cable per hour the duration required to  install  meters is  hours  meters divided by  meters per hour this technique can produce higher levels of accuracy depending on the sophistication and underlying data built into  the model parametric schedule estimates can be applied to a total project or to segments of a project in conjunction  with other estimating methods, estimate activity durations,,organisational procedure asset 
89, threepoint estimating,Has_Inputs,the accuracy of singlepoint duration estimates may be improved by considering estimation uncertainty and risk  using threepoint estimates helps deﬁne an approximate range for an activity’s duration  most likely tm this estimate is based on the duration of the activity given the resources likely to be assigned  their productivity realistic expectations of availability for the activity dependencies on other participants and  interruptions  optimistic to the activity duration based on analysis of the bestcase scenario for the activity  pessimistic tp the duration based on analysis of the worstcase scenario for the activity depending on the assumed distribution of values within the range of the three estimates the expected duration te  can be calculated one commonly used formula is triangular distribution te  to  tm  tp   triangular distribution is used when there is insufﬁcient historical data or when using judgmental data duration  estimates based on three points with an assumed distribution provide an expected duration and clarify the range of  uncertainty around the expected duration, estimate activity durations,,calculate 
90, bottomup estimating,Has_Inputs,bottomup estimating is a method of estimating project duration or cost by aggregating the estimates of the lower level components of the wbs when an activity’s duration cannot be estimated with a reasonable degree of conﬁdence  the work within the activity is decomposed into more detail the detail durations are estimated these estimates are  then aggregated into a total quantity for each of the activity’s durations activities may or may not have dependencies  between them that can affect the application and use of resources if there are dependencies this pattern of resource  usage is reﬂected and documented in the estimated requirements of the activity, estimate activity durations,,calculate 
91, data analysis,Has_Inputs,data analysis techniques that can be used for this process include but are not limited to  alternatives analysis alternatives analysis is used to compare various levels of resource capability or skills  scheduling compression techniques   different tools manual versus automated  and make rent or buy decisions regarding the resources this allows the team to weigh resource cost and  duration variables to determine an optimal approach for accomplishing project work  reserve analysis reserve analysis is used to determine the amount of contingency and management reserve  needed for the project duration estimates may include contingency reserves sometimes referred to as schedule  reserves to account for schedule uncertainty contingency reserves are the estimated duration within the schedule  baseline which is allocated for identiﬁed risks that are accepted contingency reserves are associated with the  knownunknowns which may be estimated to account for this unknown amount of rework the contingency  reserve may be a percentage of the estimated activity duration or a ﬁxed number of work periods contingency  reserves may be separated from the individual activities and aggregated as more precise information about the  project becomes available the contingency reserve may be used reduced or eliminated contingency should be  clearly identiﬁed in the schedule documentation estimates may also be produced for the amount of management reserve of schedule for the project management  reserves are a speciﬁed amount of the project budget withheld for management control purposes and are  reserved for unforeseen work that is within scope of the project management reserves are intended to address  the unknownunknowns that can affect a project management reserve is not included in the schedule baseline  but it is part of the overall project duration requirements depending on contract terms use of management  reserves may require a change to the schedule baseline, estimate activity durations,section 6.5.2.6,information psychoanalysis 
92, decision making,Has_Inputs,  decisionmaking techniques that can be used in this process include but are not limited  to voting one variation of the voting method that is often used in agilebased projects is called the ﬁst of ﬁve also called  ﬁst to ﬁve in this technique the project manager asks the team to show their level of support for a decision by holding  up a closed ﬁst indicating no support up to ﬁve ﬁngers indicating full support if a team member holds up fewer than  three ﬁngers the team member is given the opportunity to discuss any objections with the team the project manager  continues the ﬁstofﬁve process until the team achieves consensus everyone holds up three or more ﬁngers or agrees  to move on to the next decision, estimate activity durations,section 5.2.2.4,determination devising 
93, meetings,Has_Inputs,the project team may hold meetings to estimate activity durations when using an agile approach it is necessary  to conduct sprint or iteration planning meetings to discuss prioritized product backlog items user stories and decide  which of these items the team will commit to work on in the upcoming iteration the team breaks down user stories to  lowlevel tasks with estimates in hours and then validates that the estimates are achievable based on team capacity  over the duration iteration this meeting is usually held on the ﬁrst day of the iteration and is attended by the product  owner the scrum team and the project manager the outcome of the meeting includes an iteration backlog as well as  assumptions concerns risks dependencies decisions and actions, estimate activity durations,,meeting 
94, duration estimates,Has_Outputs,duration estimates are quantitative assessments of the likely number of time periods that are required to complete  an activity a phase or a project duration estimates do not include any lags as   duration  estimates may include some indication of the range of possible results for example  a range of  weeks ±  days which indicates that the activity will take at least  days and not more than   assuming a day work week or  a  probability of exceeding  weeks which indicates a high probability  that the activity will take   weeks or less, estimate activity durations,section 6.3.2.3,length estimate 
95, basis of estimates,Has_Outputs,the amount and type of additional details supporting the duration estimate vary by application area regardless of  the level of detail the supporting documentation should provide a clear and complete understanding of how the duration  estimate was derived supporting detail for duration estimates may include  documentation of the basis of the estimate ie how it was developed  documentation of all assumptions made  documentation of any known constraints  indication of the range of possible estimates eg ± to indicate that the duration is estimated between a  range of values  indication of the conﬁdence level of the ﬁnal estimate and  documentation of individual project risks inﬂuencing this estimate, estimate activity durations,,foundation estimate 
96, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  activity attributes   activity duration estimates produced during this process are  documented as part of the activity attributes  assumption log   this includes assumptions made in developing the duration  estimate such as resource skill levels and availability as well as a basis of estimates for durations additionally  constraints arising out of the scheduling methodology and scheduling tool are also documented  lessons learned register   the lessons learned register can be updated with  techniques that were efﬁcient and effective in developing effort and duration estimates    develop schedule develop schedule is the process of analyzing activity sequences durations resource requirements and schedule  constraints to create a schedule model for project execution and monitoring and controlling the key beneﬁt of this  process is that it generates a schedule model with planned dates for completing project activities this process  is performed throughout the project   figure  develop schedule data flow diagram developing an acceptable project schedule is an iterative process the schedule model is used to determine the  planned start and ﬁnish dates for project activities and milestones based on the best available information schedule  development can require the review and revision of duration estimates resource estimates and schedule reserves to  establish an approved project schedule that can serve as a baseline to track progress key steps include deﬁning the  project milestones identifying and sequencing activities and estimating durations once the activity start and ﬁnish  dates have been determined it is common to have the project staff assigned to the activities review their assigned  activities the staff conﬁrms that the start and ﬁnish dates present no conﬂict with resource calendars or assigned  activities on other projects or tasks and thus are still valid the schedule is then analyzed to determine conﬂicts with  logical relationships and if resource leveling is required before the schedule is approved and baselined revising and  maintaining the project schedule model to sustain a realistic schedule continues throughout the duration of the project  as   for more speciﬁc information regarding scheduling refer to the practice standard for scheduling, estimate activity durations,section 6.2.3.2,undertaking document update 
97, project management plan,Has_Inputs,  project management plan components include but are not limited to  schedule management plan   the schedule management plan identiﬁes the  scheduling method and tool used to create the schedule and how the schedule is to be calculated  scope baseline   the scope statement wbs and wbs dictionary have details about  the project deliverables that are considered when building the schedule model, develop schedule,section 4.2.3.1,undertaking direction program 
98, project documents,Has_Inputs,project documents that can be considered    basis of estimates   the amount and type of additional details supporting the  duration estimate vary by application area regardless of the level of detail the supporting documentation should  provide a clear and complete understanding of how the duration estimate was derived  duration estimates   the duration estimates contain the quantitative assessments  of the likely number of work periods that will be required to complete an activity this will be used to calculate  the schedule  lessons learned   lessons learned earlier in the project with regard to developing  the schedule model can be applied to later phases in the project to improve the validity of the schedule model  milestone list   the milestone list has scheduled dates for speciﬁc milestones  project schedule network diagrams   the project schedule network diagrams  contain the logical relationships of predecessors and successors that will be used to calculate the schedule  project team assignments   the project team assignments specify which resources  are assigned to each activity  resource calendars s  the resource calendars contain information on the  availability of resources during the project  resource requirements   the activity resource requirements identify the types and  quantities of resources required for each activity used to create the schedule model  risk register   the risk register provides the details of all identiﬁed risks and their  characteristics that affect the schedule model risk information relevant to the schedule is reﬂected in schedule  reserves using the expected or mean risk impact, develop schedule,section 6.2.3.2,undertaking document 
99, agreements,Has_Inputs,  vendors may have an input to the project schedule as they develop the details of how  they will perform the project work to meet contractual commitments, develop schedule,section 12.2.3.2,agreement 
100, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the develop schedule process include but are not limited to  government or industry standards and  communication channels, develop schedule,,endeavor environmental factor 
101, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the develop schedule process include but are not limited to  scheduling methodology containing the policies governing schedule model development and maintenance  and  project calendars, develop schedule,,organisational procedure asset 
102, schedule network analysis,Has_Technics_Tools,schedule network analysis is the overarching technique used to generate the project schedule model it employs  several other techniques such as critical path method   resource optimization techniques    and modeling techniques   additional analysis includes but  is not limited to  assessing the need to aggregate schedule reserves to reduce the probability of a schedule slip when multiple  paths converge at a single point in time or when multiple paths diverge from a single point in time to reduce the  probability of a schedule slip  reviewing the network to see if the critical path has highrisk activities or long lead items that would necessitate  use of schedule reserves or the implementation of risk responses to reduce the risk on the critical path schedule network analysis is an iterative process that is employed until a viable schedule model is developed, develop schedule,section 6.5.2.2,agenda mesh psychoanalysis 
103, critical path method,Has_Technics_Tools,the critical path method is used to estimate the minimum project duration and determine the amount of schedule  ﬂexibility on the logical network paths within the schedule model this schedule network analysis technique calculates  the early start early ﬁnish late start and late ﬁnish dates for all activities without regard for any resource limitations  by performing a forward and backward pass analysis through the schedule network as shown in figure  in this  example the longest path includes activities a c and d and therefore the sequence of acd is the critical path  the critical path is the sequence of activities that represents the longest path through a project which determines  the shortest possible project duration the longest path has the least total ﬂoat usually zero the resulting early  and late start and ﬁnish dates are not necessarily the project schedule rather they indicate the time periods within  which the activity could be executed using the parameters entered in the schedule model for activity durations logical  relationships leads lags and other known constraints the critical path method is used to calculate the critical paths  and the amount of total and free ﬂoat or schedule ﬂexibility on the logical network paths within the schedule model on any network path the total ﬂoat or schedule ﬂexibility is measured by the amount of time that a schedule  activity can be delayed or extended from its early start date without delaying the project ﬁnish date or violating a  schedule constraint a critical path is normally characterized by zero total ﬂoat on the critical path as implemented  with the precedence diagramming method sequencing critical paths may have positive zero or negative total ﬂoat  depending on the constraints applied positive total ﬂoat is caused when the backward pass is calculated from a  schedule constraint that is later than the early ﬁnish date that has been calculated during forward pass calculation  negative total ﬂoat is caused when a constraint on the late dates is violated by duration and logic negative ﬂoat  analysis is a technique that helps to ﬁnd possible accelerated ways of bringing a delayed schedule back on track  schedule networks may have multiple nearcritical paths many software packages allow the user to deﬁne the  parameters used to determine the critical paths adjustments to activity durations when more resources or less  scope can be arranged logical relationships when the relationships were discretionary to begin with leads and  lags or other schedule constraints may be necessary to produce network paths with a zero or positive total ﬂoat  once the total ﬂoat and the free ﬂoat have been calculated the free ﬂoat is the amount of time that a schedule  activity can be delayed without delaying the early start date of any successor or violating a schedule constraint for  example the free ﬂoat for activity b in figure  is  days   critical path link noncritical path link activity node start finish a       c       b       d       activity name early start duration early finish late start total float late finish path a–b–d   path a–c–d   critical path key note this example uses the accepted convention of the project  starting on day  for calculating start and finish dates there are  other accepted conventions that may be used figure  example of critical path method, develop schedule,,vital way_of_life method_acting 
104, resource optimization,Has_Technics_Tools,resource optimization is used to adjust the start and ﬁnish dates of activities to adjust planned resource use to be  equal to or less than resource availability examples of resource optimization techniques that can be used to adjust the  schedule model due to demand and supply of resources include but are not limited to  resource leveling a technique in which start and ﬁnish dates are adjusted based on resource constraints with  the goal of balancing the demand for resources with the available supply resource leveling can be used when  shared or critically required resources are available only at certain times or in limited quantities or are over allocated such as when a resource has been assigned to two or more activities during the same time period as  shown in figure  or there is a need to keep resource usage at a constant level resource leveling can often  cause the original critical path to change available ﬂoat is used for leveling resources consequently the critical  path through the project schedule may change  resource smoothing a technique that adjusts the activities of a schedule model such that the requirements for  resources on the project do not exceed certain predeﬁned resource limits in resource smoothing as opposed to  resource leveling the project’s critical path is not changed and the completion date may not be delayed in other  words activities may only be delayed within their free and total ﬂoat resource smoothing may not be able to  optimize all resources     figure  resource leveling start activity a tom  hrs sue  hrs activity b sue  hrs activity c tom  hrs tom  hrs sue  hrs tom  hrs day  day  day  start activity a tom  hrs sue  hrs activity b sue  hrs activity c tom  hrs tom  hrs sue  hrs sue  hrs tom  hrs day  day  day  activities before resource leveling activities after resource leveling, develop schedule,,resourcefulness optimisation 
